sample_idx,subject_id,stride_num,phase,time,pelvis_acc_x,pelvis_acc_y,pelvis_acc_z,tibia_left_acc_x,tibia_left_acc_y,tibia_left_acc_z,tibia_right_acc_x,tibia_right_acc_y,tibia_right_acc_z,grf_ml,grf_ap,grf_vertical,velocity,body_mass,velocity_condition,stride_freq_condition
0,1,0,stance,0.0,-0.07311395352421585,-0.16366985231508846,-5.4737822922174555,0.11594040384650245,0.5285199007416119,-2.2897072341063294,0.22284071940711261,-0.12016636611638687,-2.994656506698322,-0.009389487718699043,-8.821899632798114e-05,0.00014613280300554665,2.78,82.39249767769658,10kmh,low
1,1,0,stance,0.004230436101688532,-0.1500443910444705,-0.060319700059654716,-4.86410693812366,-0.2066059897151316,-0.8824210724363649,-1.1651965474292205,-0.10013715319229614,-0.4568331602456068,-2.2999911223435583,0.011017468048518381,-0.0003888034180438083,0.0006097297264424553,2.78,82.39249767769658,10kmh,low
2,1,0,stance,0.008460872203377065,-0.0403127062296243,-0.5558429676758998,-4.452269717594175,-0.18755059935370283,-0.6044330735460492,-2.3839657237968463,-0.06516765540799983,-0.3011894824973281,-4.616423603920184,-0.008216183600372712,-0.0016314751800664796,0.0024541046602570625,2.78,82.39249767769658,10kmh,low
3,1,0,stance,0.012691308305065596,0.11253253656447607,-0.6241402601777231,-4.5192789474863675,0.08932184500969668,-1.0674865045397317,-0.03044629676739108,0.40967836361159465,0.32982519725319664,-2.8388639027103224,-0.004808765879901388,-0.006099696184974689,0.00903072788496971,2.78,82.39249767769658,10kmh,low
4,1,0,stance,0.01692174440675413,0.19901464487699994,-0.5330877219123269,-3.145170851014317,-0.17914127206511082,-0.27449425681344397,-1.4236263569373797,-0.030351084289066327,0.11066775422102532,-2.0823029813060048,0.018405516260066337,-0.017812288429047533,0.027502315092742428,2.78,82.39249767769658,10kmh,low
5,1,0,stance,0.021152180508442663,-0.02354463330202823,-0.4904440783760324,-2.644757542565154,0.10218679904240653,0.07254616204754322,-2.281514336102349,0.3770493309985417,-0.7750025882497135,-2.5744835552637744,-0.01107657033649199,-0.03647107108186008,0.06561920399614676,2.78,82.39249767769658,10kmh,low
6,1,0,stance,0.025382616610131192,0.27416076193867933,-0.44487550861791336,-2.236699289049791,-0.024972945954089387,0.31294711275783255,-2.1046991216090265,0.21204638744931323,-0.38856526057556856,-0.07722127011446567,0.005112626122825742,-0.05583988446612914,0.1354368255582108,2.78,82.39249767769658,10kmh,low
7,1,0,stance,0.029613052711819726,0.3754437714616939,-0.24057423060038524,-1.8121756294288267,0.1653156242848562,-0.5412440520619624,-0.524627475767095,0.11840413219868867,-0.2025978805859554,-1.9590878206699585,0.03771964848875136,-0.07368647327622961,0.2682826117886979,2.78,82.39249767769658,10kmh,low
8,1,0,stance,0.03384348881350826,0.26171767705852944,-0.4823549434923162,-1.8639031838836295,0.42580558328153284,0.09768861170732668,-0.5809730648938136,0.4061675259945402,-1.5513218016390051,-0.7434093409221634,0.03612430336837921,-0.09131232939326188,0.5087870250693795,2.78,82.39249767769658,10kmh,low
9,1,0,stance,0.03807392491519679,0.5078298789263418,-0.8238031742827908,-0.8514066381170196,0.5854652552995763,-1.5519117260628366,0.6169280533496964,0.7175380398347487,-0.5901809007654233,0.17948311574519596,0.0690839416671132,-0.10981918921449933,0.8850650036403566,2.78,82.39249767769658,10kmh,low
10,1,0,stance,0.042304361016885325,0.13563599690440467,-0.8743635955876885,-0.34083148238346717,0.2562331100511098,-1.8684988165414969,0.9027090116328842,0.501927142060179,-1.348119476336843,1.628735760002312,0.050455024247252046,-0.12956263976349638,1.3666365327123051,2.78,82.39249767769658,10kmh,low
11,1,0,stance,0.046534797118573855,0.08897771029105342,-1.2037435407503927,-0.1619297907230716,0.6037265051713598,-1.2084209844086582,0.875466765093838,-0.07866212564231623,-0.8953478006637692,-0.14680816379808703,0.045710507402111245,-0.1504392373802687,1.8411260578910291,2.78,82.39249767769658,10kmh,low
12,1,0,stance,0.050765233220262385,0.03121686853217842,-1.0378571493170439,0.4890686420792344,0.4724664950864629,-1.1585217139867505,0.5451354348612856,0.5609480330302201,-1.7321840167276625,2.052603537528809,0.10815965151979573,-0.1720889957258415,2.149707078874638,2.78,82.39249767769658,10kmh,low
13,1,0,stance,0.05499566932195092,0.5429722555860701,-1.1809934454026672,1.0163506639350322,0.6948335077895667,-1.5388009049856228,0.13485587255263654,0.4789699471656246,-2.424894581270836,1.2786660868317254,0.07876068240184955,-0.19399254981378394,2.1775267406230823,2.78,82.39249767769658,10kmh,low
14,1,0,stance,0.05922610542363945,0.4352958005676186,-1.098086917879932,1.9180123032187775,0.7565296246011145,-2.725153297707067,0.8695600465568756,0.589645952834007,-2.50520346662871,0.46831477232117813,0.08857642494670433,-0.21552398670834974,1.9317993408240042,2.78,82.39249767769658,10kmh,low
15,1,0,stance,0.06345654152532798,0.3452861655053024,-1.4487268290172606,1.1500750809339335,0.34960350808107665,-1.896620306173913,1.6537064263171901,0.5821581422972437,-1.8280178130868279,1.3579849362720389,0.06218000843302378,-0.2359913718676757,1.536981187571746,2.78,82.39249767769658,10kmh,low
16,1,0,stance,0.06768697762701652,0.40989975302677345,-1.1673819535627936,1.2251236745761904,0.6495492485017071,-2.6509393833567776,0.9027287052320766,0.6124412431744911,-1.8688433822436104,0.8914531688145262,0.08271676029433199,-0.25467694101737404,1.1515548576977424,2.78,82.39249767769658,10kmh,low
17,1,0,stance,0.07191741372870505,0.2110572041494174,-0.9605019915434159,1.0603989185300262,0.3616712930307085,-1.791027615979039,-0.4815847349306841,0.3406135974495089,-2.5780222029462627,0.0025566912342108727,0.09821606045245876,-0.2708797006108637,0.8808509922680848,2.78,82.39249767769658,10kmh,low
18,1,0,stance,0.07614784983039358,0.7563222995900449,-1.4076573517051356,0.1292530873977601,0.7448028159184358,-2.0452123272605505,0.3220744046341846,0.6088455238682013,-1.9092152209202877,0.24454027398831227,0.07482103700549156,-0.28395915523814663,0.7484988914012088,2.78,82.39249767769658,10kmh,low
19,1,0,stance,0.08037828593208211,0.41594564147353724,-1.3064274897523376,1.07548492153395,0.6860558002617038,-2.77236390161302,0.28398854471425966,0.8849277706934068,-3.1331840395838224,-0.2939846877286881,0.10663773618355192,-0.2933771672336063,0.7239196566064569,2.78,82.39249767769658,10kmh,low
