sample_idx,subject_id,stride_num,phase,time,pelvis_acc_x,pelvis_acc_y,pelvis_acc_z,tibia_left_acc_x,tibia_left_acc_y,tibia_left_acc_z,tibia_right_acc_x,tibia_right_acc_y,tibia_right_acc_z,grf_ml,grf_ap,grf_vertical,velocity,body_mass,velocity_condition,stride_freq_condition
0,1,0,stance,0,-0.073113954,-0.163669852,-5.473782292,0.115940404,0.528519901,-2.289707234,0.222840719,-0.120166366,-2.994656507,-0.009389488,-8.82E-05,0.000146133,2.78,82.39249768,10kmh,low
1,1,0,stance,0.004230436,-0.150044391,-0.0603197,-4.864106938,-0.20660599,-0.882421072,-1.165196547,-0.100137153,-0.45683316,-2.299991122,0.011017468,-0.000388803,0.00060973,2.78,82.39249768,10kmh,low
2,1,0,stance,0.008460872,-0.040312706,-0.555842968,-4.452269718,-0.187550599,-0.604433074,-2.383965724,-0.065167655,-0.301189482,-4.616423604,-0.008216184,-0.001631475,0.002454105,2.78,82.39249768,10kmh,low
3,1,0,stance,0.012691308,0.112532537,-0.62414026,-4.519278947,0.089321845,-1.067486505,-0.030446297,0.409678364,0.329825197,-2.838863903,-0.004808766,-0.006099696,0.009030728,2.78,82.39249768,10kmh,low
4,1,0,stance,0.016921744,0.199014645,-0.533087722,-3.145170851,-0.179141272,-0.274494257,-1.423626357,-0.030351084,0.110667754,-2.082302981,0.018405516,-0.017812288,0.027502315,2.78,82.39249768,10kmh,low
5,1,0,stance,0.021152181,-0.023544633,-0.490444078,-2.644757543,0.102186799,0.072546162,-2.281514336,0.377049331,-0.775002588,-2.574483555,-0.01107657,-0.036471071,0.065619204,2.78,82.39249768,10kmh,low
6,1,0,stance,0.025382617,0.274160762,-0.444875509,-2.236699289,-0.024972946,0.312947113,-2.104699122,0.212046387,-0.388565261,-0.07722127,0.005112626,-0.055839884,0.135436826,2.78,82.39249768,10kmh,low
7,1,0,stance,0.029613053,0.375443771,-0.240574231,-1.812175629,0.165315624,-0.541244052,-0.524627476,0.118404132,-0.202597881,-1.959087821,0.037719648,-0.073686473,0.268282612,2.78,82.39249768,10kmh,low
8,1,0,stance,0.033843489,0.261717677,-0.482354943,-1.863903184,0.425805583,0.097688612,-0.580973065,0.406167526,-1.551321802,-0.743409341,0.036124303,-0.091312329,0.508787025,2.78,82.39249768,10kmh,low
9,1,0,stance,0.038073925,0.507829879,-0.823803174,-0.851406638,0.585465255,-1.551911726,0.616928053,0.71753804,-0.590180901,0.179483116,0.069083942,-0.109819189,0.885065004,2.78,82.39249768,10kmh,low
10,1,0,stance,0.042304361,0.135635997,-0.874363596,-0.340831482,0.25623311,-1.868498817,0.902709012,0.501927142,-1.348119476,1.62873576,0.050455024,-0.12956264,1.366636533,2.78,82.39249768,10kmh,low
